"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DU4JRBSA","journalArticle","2018","Nekouei, Omid; Checkley, Sylvia; Waldner, Cheryl; Smith, Ben A.; Invik, Jesse; Carson, Carolee; Avery, Brent; Sanchez, Javier; Gow, Sheryl","Exposure to antimicrobial-resistant Escherichia coli through the consumption of ground beef in Western Canada","International Journal of Food Microbiology","","01681605","10.1016/j.ijfoodmicro.2018.02.022","https://linkinghub.elsevier.com/retrieve/pii/S0168160518300734","Emergence and dissemination of antimicrobial resistance (AMR) in food-borne bacteria is a public health issue. Retail meat is considered an important carrier for antimicrobial-resistant Escherichia coli. Currently, resistance of E. coli strains to third generation cephalosporins are of particular concern, with signiﬁcant potential animal and public health consequences. Resistance to tetracyclines is also a concern, due to high prevalence of this resistance and important co-resistance patterns. However, the actual likelihood of exposure to antimicrobial-resistant bacteria via the consumption of retail meats, beyond the simple frequencies of resistance found in samples of meat at the grocery store, in Canada remains to be investigated. This study was conducted to estimate the potential human exposure to ceftriaxone- and tetracycline-resistant E.coli (CREC and TREC; the hazards of interest) through the consumption of ground beef in Western Canada.","2018-05","2020-04-23 14:23:29","2020-04-23 14:23:29","2020-04-23 14:23:29","41-48","","","272","","International Journal of Food Microbiology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Nekouei et al. - 2018 - Exposure to antimicrobial-resistant Escherichia coli through the consumption of ground beef in Western Canada.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYHQTYHN","journalArticle","2018","Palma, Federica; Manfreda, Gerardo; Silva, Mickael; Parisi, Antonio; Barker, Dillon O. R.; Taboada, Eduardo N.; Pasquali, Frédérique; Rossi, Mirko","Genome-wide identification of geographical segregated genetic markers in Salmonella enterica serovar Typhimurium variant 4,[5],12:i:-","Scientific Reports","","2045-2322","10.1038/s41598-018-33266-5","http://www.nature.com/articles/s41598-018-33266-5","","2018-12","2020-04-23 14:23:31","2020-04-23 14:23:31","2020-04-23 14:23:31","15251","","1","8","","Sci Rep","Genome-wide identification of geographical segregated genetic markers in Salmonella enterica serovar Typhimurium variant 4,[5],12","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Palma et al. - 2018 - Genome-wide identification of geographical segregated genetic markers in Salmonella enterica serovar Typhimurium v.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BCU92GEW","journalArticle","2018","Radford, Devon; Strange, Philip; Lepp, Dion; Hernandez, Marta; Rehman, Muhammad Attiq; Diarra, Moussa Sory; Balamurugan, S.","Genomic and Proteomic Analyses of Salmonella enterica Serovar Enteritidis Identifying Mechanisms of Induced de novo Tolerance to Ceftiofur","Frontiers in Microbiology","","1664-302X","10.3389/fmicb.2018.02123","https://www.frontiersin.org/article/10.3389/fmicb.2018.02123/full","","2018-09-10","2020-04-23 14:23:32","2020-04-23 14:23:32","2020-04-23 14:23:32","2123","","","9","","Front. Microbiol.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Radford et al. - 2018 - Genomic and Proteomic Analyses of Salmonella enterica Serovar Enteritidis Identifying Mechanisms of Induced de n.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TSAGN9JN","journalArticle","2018","Rehman, Muhammad Attiq; Yin, Xianhua; Zaheer, Rahat; Goji, Noriko; Amoako, Kingsley K.; McAllister, Tim; Pritchard, Jane; Topp, Edward; Diarra, Moussa S.","Genotypes and Phenotypes of Enterococci Isolated From Broiler Chickens","Frontiers in Sustainable Food Systems","","2571-581X","10.3389/fsufs.2018.00083","https://www.frontiersin.org/article/10.3389/fsufs.2018.00083/full","The objective of this study was to investigate the distribution and persistence of antimicrobial resistance genotypes of enterococci from broilers fed bambermycin (BAM), penicillin (PEN), salinomycin (SAL), bacitracin (BAC), or a salinomycin/bacitracin combination (SALBAC) for 35 days. A total of 95 enterococci from cloacal (n = 40), cecal (n = 38), and litter samples collected on day 36 (n = 17) were isolated weekly from day 7 to 36. All isolates were identiﬁed by API-20 Strep and their antimicrobial susceptibilities were evaluated using the Sensititre system with the plates for Gram positive bacteria. Whole genome sequencing (WGS) was used to assess their intra- and inter-genetic variability, with a focus on virulence and antibiotic resistance characteristics. All isolates were further characterized for hemolysin production (HEM), bile salt hydrolysis (BSH), and gelatinase (GEL) activities. Of the 95 isolates, Enterococcus faecium (n = 58) and Enterococcus faecalis (n = 24) were the most common Enterococcus species identiﬁed. Signiﬁcant differences in the level of resistance for the E. faecium isolates to ciproﬂoxacin, macrolide, penicillin and tetracycline were observed among treatments. The bcrR, mefA, and aac(6) genes were higher in BAM treatment than the other groups whereas bcrR, ermA, ermB, aphA(3), and tetL were more prevalent in PEN and BAC treatments. Overall, E. faecium isolates showed a higher prevalence of antimicrobial resistance, but E. faecalis from litter also exhibited a signiﬁcant level of resistance. A range of 4–15 different virulence genes was detected in E. faecalis. All isolates from litter but one (94.1%) showed BSH activities while 52.9% of them produced GEL. HEM activity was observed only in isolates collected on Day 7 (n = 9) and Day 14 (n = 1). This study conﬁrmed that genetically diverse AMR enterococci harboring virulence factors can be promoted by the use of certain antimicrobials in feed. Such enterococci could persist in broiler chickens and their litter, which can potentially contaminate the soil upon land application.","2018-12-13","2020-04-23 14:23:34","2020-04-23 14:23:34","2020-04-23 14:23:34","83","","","2","","Front. Sustain. Food Syst.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Rehman et al. - 2018 - Genotypes and Phenotypes of Enterococci Isolated From Broiler Chickens.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FU3SJT5J","journalArticle","2018","Robertson, James; Nash, John H. E.","MOB-suite: software tools for clustering, reconstruction and typing of plasmids from draft assemblies","Microbial Genomics","","2057-5858","10.1099/mgen.0.000206","https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000206","Large-scale bacterial population genetics studies are now routine due to cost-effective Illumina short-read sequencing. However, analysing plasmid content remains difficult due to incomplete assembly of plasmids. Bacterial isolates can contain any number of plasmids and assembly remains complicated due to the presence of repetitive elements. Numerous tools have been developed to analyse plasmids but the performance and functionality of the tools are variable. The MOB-suite was developed as a set of modular tools for reconstruction and typing of plasmids from draft assembly data to facilitate characterization of plasmids. Using a set of closed genomes with publicly available Illumina data, the MOB-suite identified contigs of plasmid origin with both high sensitivity and specificity (95 and 88 %, respectively). In comparison, plasmidfinder demonstrated high specificity (99 %) but limited sensitivity (50 %). Using the same dataset of 377 known plasmids, MOB-recon accurately reconstructed 207 plasmids so that they were assigned to a single grouping without other plasmid or chromosomal sequences, whereas plasmidSPAdes was only able to accurately reconstruct 102 plasmids. In general, plasmidSPAdes has a tendency to merge different plasmids together, with 208 plasmids undergoing merge events. The MOB-suite reduces the number of errors but produces more hybrid plasmids, with 84 plasmids undergoing both splits and merges. The MOB-suite also provides replicon typing similar to plasmidfinder but with the inclusion of relaxase typing and prediction of conjugation potential. The MOB-suite is written in Python 3 and is available from https://github.com/phac-nml/mob-suite.","2018-08-01","2020-04-23 14:23:37","2020-04-23 14:23:37","2020-04-23 14:23:37","","","8","4","","","MOB-suite","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Robertson, Nash - 2018 - MOB-suite software tools for clustering, reconstruction and typing of plasmids from draft assemblies.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4FF8MUP7","journalArticle","2018","Scott, Andrew; Tien, Yuan-Ching; Drury, Craig F.; Reynolds, W. Daniel; Topp, Edward","Enrichment of antibiotic resistance genes in soil receiving composts derived from swine manure, yard wastes, or food wastes, and evidence for multiyear persistence of swine <i>Clostridium</i> spp.","Canadian Journal of Microbiology","","0008-4166, 1480-3275","10.1139/cjm-2017-0642","http://www.nrcresearchpress.com/doi/10.1139/cjm-2017-0642","The impact of amendment with swine manure compost (SMC), yard waste compost (YWC), or food waste compost (FWC) on the abundance of antibiotic resistance genes in soil was evaluated. Following a commercialscale application of the composts in a ﬁeld experiment, soils were sampled periodically for a decade, and archived air-dried. Soil DNA was extracted and gene targets quantiﬁed by qPCR. Compared with untreated control soil, all 3 amendment types increased the abundance of gene targets for up to 4 years postapplication. The abundance of several gene targets was much higher in soil amended with SMC than in soil receiving either YWC or FWC. The gene target ermB remained higher in the SMC treatment for a decade postapplication. Clostridia were signiﬁcantly more abundant in the SMC-amended soil throughout the decade following application. Eight percent of Clostridium spp. isolates from the SMC treatment carried ermB. Overall, addition of organic amendments to soils has the potential to increase the abundance of antibiotic resistance genes. Amendments of fecal origin, such as SMC, will in addition entrain bacteria carrying antibiotic resistance genes. Environmentally recalcitrant clostridia, and the antibiotic resistance genes that they carry, will persist for many years under ﬁeld conditions following the application of SMC.","2018-03","2020-04-23 14:23:38","2020-04-23 14:23:38","2020-04-23 14:23:38","201-208","","3","64","","Can. J. Microbiol.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Scott et al. - 2018 - Enrichment of antibiotic resistance genes in soil receiving composts derived from swine manure, yard wastes, or fo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B22XKUVB","journalArticle","2017","Tien, Yuan-Ching; Li, Bing; Zhang, Tong; Scott, Andrew; Murray, Roger; Sabourin, Lyne; Marti, Romain; Topp, Edward","Impact of dairy manure pre-application treatment on manure composition, soil dynamics of antibiotic resistance genes, and abundance of antibiotic-resistance genes on vegetables at harvest","Science of The Total Environment","","00489697","10.1016/j.scitotenv.2016.12.138","https://linkinghub.elsevier.com/retrieve/pii/S0048969716328285","","2017-03","2020-04-23 14:23:40","2020-04-23 14:23:40","2020-04-23 14:23:40","32-39","","","581-582","","Science of The Total Environment","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Tien et al. - 2017 - Impact of dairy manure pre-application treatment on manure composition, soil dynamics of antibiotic resistance gene.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U2BX38CR","journalArticle","2018","Tymensen, Lisa; Zaheer, Rahat; Cook, Shaun R.; Amoako, Kingsley K.; Goji, Noriko; Read, Ron; Booker, Calvin W.; Hannon, Sherry J.; Neumann, Norman; McAllister, Tim A.","Clonal expansion of environmentally-adapted Escherichia coli contributes to propagation of antibiotic resistance genes in beef cattle feedlots","Science of The Total Environment","","00489697","10.1016/j.scitotenv.2018.05.021","https://linkinghub.elsevier.com/retrieve/pii/S004896971831653X","Livestock wastewater lagoons represent important environmental reservoirs of antibiotic resistance genes (ARGs), although factors contributing to their proliferation within these reservoirs remain poorly understood. Here, we characterized Escherichia coli from feedlot cattle feces and associated wastewater lagoons using CRISPR1 subtyping, and demonstrated that while generic E. coli were genetically diverse, populations were dominated by several ‘feedlotadapted’ CRISPR types (CTs) that were widely distributed throughout the feedlot. Moreover, E. coli bearing betalactamase genes, which confer reduced susceptibility to third-generation cephalosporin's, predominantly belonged to these feedlot-adapted CTs. Remarkably, the genomic region containing the CRISPR1 allele was more frequently subject to genetic exchange among wastewater isolates compared to fecal isolates, implicating this region in environmental adaptation. This allele is proximal to the mutS-rpoS-nlpD region, which is involved in regulating recombination barriers and adaptive stress responses. There were no loss-of-function mutS or rpoS mutations or beneﬁcial accessory genes present within the mutS-rpoS-nlpD region that would account for increased environmental ﬁtness among feedlot-adapted isolates. However, comparative sequence analysis revealed that protein sequences within this region were conserved among most feedlot-adapted CTs, but not transient fecal CTs, and did not reﬂect phylogenetic relatedness, implying that adaptation to wastewater environments may be associated with genetic variation related to stress resistance. Collectively, our ﬁndings suggest adaptation of E. coli to feedlot environments may contribute to propagation of ARGs in wastewater lagoons.","2018-10","2020-04-23 14:23:41","2020-04-23 14:23:41","2020-04-23 14:23:41","657-664","","","637-638","","Science of The Total Environment","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Tymensen et al. - 2018 - Clonal expansion of environmentally-adapted Escherichia coli contributes to propagation of antibiotic resistanc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FLY9MA9","journalArticle","2018","Zaheer, Rahat; Noyes, Noelle; Ortega Polo, Rodrigo; Cook, Shaun R.; Marinier, Eric; Van Domselaar, Gary; Belk, Keith E.; Morley, Paul S.; McAllister, Tim A.","Impact of sequencing depth on the characterization of the microbiome and resistome","Scientific Reports","","2045-2322","10.1038/s41598-018-24280-8","http://www.nature.com/articles/s41598-018-24280-8","","2018-12","2020-04-23 14:23:43","2020-04-23 14:23:43","2020-04-23 14:23:43","5890","","1","8","","Sci Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Zaheer et al. - 2018 - Impact of sequencing depth on the characterization of the microbiome and resistome.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLAXM7NN","journalArticle","2017","Awosile, Babafela B.; Smith, Ben A.","Risk assessment modelling of fecal shedding caused by extended-spectrum cephalosporin-resistant Escherichia coli transmitted through waste milk fed to dairy pre-weaned calves","Journal of Dairy Science","","00220302","10.3168/jds.2017-13196","https://linkinghub.elsevier.com/retrieve/pii/S0022030217309086","","2017-12","2020-04-23 14:23:45","2020-04-23 14:23:45","2020-04-23 14:23:45","9667-9673","","12","100","","Journal of Dairy Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Awosile, Smith - 2017 - Risk assessment modelling of fecal shedding caused by extended-spectrum cephalosporin-resistant Escherichia coli.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAWQ8FX5","journalArticle","2018","Banerjee, Swapan K.; Farber, Jeffrey M.","Trend and Pattern of Antimicrobial Resistance in Molluscan <i>Vibrio</i> Species Sourced to Canadian Estuaries","Antimicrobial Agents and Chemotherapy","","0066-4804, 1098-6596","10.1128/AAC.00799-18","http://aac.asm.org/lookup/doi/10.1128/AAC.00799-18","The emergence of antimicrobial resistance (AMR) in foodborne bacteria is a growing concern worldwide. AMR surveillance is a key element in understanding the implications resulting from the use of antibiotics for therapeutic as well as prophylactic needs. The emergence and spread of AMR in foodborne human pathogens are indirect health hazards. This surveillance study reports the trend and pattern of AMR detected in Vibrio species isolated from molluscs harvested in Canada between 2006 and 2012 against 19 commonly used antibiotics. Five common antibiotics, ampicillin, cephalothin, erythromycin, kanamycin, and streptomycin, predominantly contributed to AMR, including multidrug resistance (MDR) in the molluscan Vibrio spp. isolated in 2006. A prospective follow-up analysis of these drugs showed a declining trend in the frequency of MDR/AMR Vibrio spp. in subsequent years until 2012. The observed decline appears to have been inﬂuenced by the speciﬁc downturn in resistance to the aminoglycosides, kanamycin, and streptomycin. Frequently observed MDR/AMR Vibrio spp. in seafood is a potential health concern associated with seafood consumption. Our surveillance study provides an indication of the antibiotics that challenged the marine bacteria, sourced to Canadian estuaries, during and/or prior to the study period.","2018-08-06","2020-04-23 14:23:46","2020-04-23 14:23:46","2020-04-23 14:23:46","e00799-18, /aac/62/10/e00799-18.atom","","10","62","","Antimicrob Agents Chemother","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Banerjee, Farber - 2018 - Trend and Pattern of Antimicrobial Resistance in Molluscan Vibrio Species Sourced to Canadian Estuaries.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82JRMHYB","journalArticle","2018","Banerjee, Swapan K.; Rutley, Rebecca; Bussey, Jeff","Diversity and Dynamics of the Canadian Coastal <i>Vibrio</i> Community: an Emerging Trend Detected in the Temperate Regions","Journal of Bacteriology","","0021-9193, 1098-5530","10.1128/JB.00787-17","http://jb.asm.org/lookup/doi/10.1128/JB.00787-17","Vibrio species are indigenous to the marine and estuarine environments around the world and are the leading cause of water- and seafood-borne illnesses due to conditions favoring the transmission and growth of the species. Horizontal gene transfer, recombination, and mutation enable Vibrio spp. to adapt rapidly to environmental challenges from biotic and abiotic parameters, including temperature, salinity, and nutrient status of the coastal waters. This surveillance study provides evidence of Vibrio cholerae emerging in the temperate estuaries of Canada, thereby redeﬁning the diversity and dynamics of its coastal Vibrio population. The presence of the pathogenic context in Vibrio parahaemolyticus was also detected with an increasing trend during the study period.","2018-05-07","2020-04-23 14:23:48","2020-04-23 14:23:48","2020-04-23 14:23:48","e00787-17, /jb/200/15/e00787-17.atom","","15","200","","J Bacteriol","Diversity and Dynamics of the Canadian Coastal <i>Vibrio</i> Community","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Banerjee, Rutley, Bussey - 2018 - Diversity and Dynamics of the Canadian Coastal Vibrio Community an Emerging Trend Detected in the Temp.pdf","","","","DiRita, Victor J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQX6EBXS","report","2018","Barker, Dillon OR; Carriço, João A; Kruczkiewicz, Peter; Palma, Federica; Rossi, Mirko; Taboada, Eduardo N","Rapid Identification of Stable Clusters in Bacterial Populations Using the Adjusted Wallace Coefficient","","","","","http://biorxiv.org/lookup/doi/10.1101/299347","Abstract                        Whole-genome sequencing (WGS) of microbial pathogens has become an essential part of modern epidemiological investigations. Although WGS data can be analyzed using a number of different approaches, such as traditional phylogenetic methods, a critical requirement for global systems for pathogen surveillance is the development of approaches for transforming sequence data into WGS-based subtypes, which creates a nomenclature that describes their higher-order relationships to one another. To this end, subtype similarity thresholds are needed to define clusters of subtypes representing lineages of interest. WGS-based subtyping presents a challenge since both the addition of novel genome sequences and small adjustments in similarity thresholds can have a dramatic impact on cluster composition and stability. We present the Neighbourhood Adjusted Wallace Coefficient (nAWC), a method for evaluating cluster stability based on computing cluster concordance between neighbouring similarity thresholds. The nAWC can be used to identify areas in in which distance thresholds produce robust clusters. Using datasets from             Salmonella enterica             and             Campylobacter jejuni             , representing strongly and weakly clonal bacterial species respectively, we show that clusters generated using such thresholds are both stable and reflect basic units in their overall population structure. Our results suggest that the nAWC could be useful for defining robust clusters compatible with nomenclatures for global WGS-based surveillance networks, which require stable clusters to be defined that both harness the discriminatory power of WGS data while allowing for long-term tracking of strains of interest.","2018-04-16","2020-04-23 14:23:49","2020-04-23 16:10:57","2020-04-23 14:23:49","","","","","","","","","","","","","","en","","preprint","bioRxiv","","DOI.org (Crossref)","","DOI: 10.1101/299347","","D:\OneDrive\Library\Barker et al. - 2018 - Rapid Identification of Stable Clusters in Bacterial Populations Using the Adjusted Wallace Coefficient.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZBILQ6D","journalArticle","2018","Bioteau, Audrey; Huguet, Kévin; Burrus, Vincent; Banerjee, Swapan","Genome Sequence of a Canadian <i>Vibrio parahaemolyticus</i> Isolate with Unique Mobilizing Capacity","Genome Announcements","","2169-8287","10.1128/genomeA.00520-18","http://genomea.asm.org/lookup/doi/10.1128/genomeA.00520-18","Vibrio parahaemolyticus is a clinically signiﬁcant marine bacterium implicated in gastroenteritis among consumers of raw or undercooked seafood. This report presents the whole-genome sequence of a unique strain of V. parahaemolyticus isolated from oysters harvested in Canada.","2018-06-14","2020-04-23 14:23:50","2020-04-23 14:23:50","2020-04-23 14:23:50","e00520-18, /ga/6/24/e00520-18.atom","","24","6","","Genome Announc","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Bioteau et al. - 2018 - Genome Sequence of a Canadian Vibrio parahaemolyticus Isolate with Unique Mobilizing Capacity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPA29X62","journalArticle","2019","Blais, Burton W.; Tapp, Kyle; Dixon, Martine; Carrillo, Catherine D.","Genomically Informed Strain-Specific Recovery of Shiga Toxin–Producing Escherichia coli during Foodborne Illness Outbreak Investigations","Journal of Food Protection","","0362-028X, 1944-9097","10.4315/0362-028X.JFP-18-340","https://meridian.allenpress.com/jfp/article/82/1/39/174606/Genomically-Informed-StrainSpecific-Recovery-of","Next-generation sequencing plays an important role in the characterization of clinical bacterial isolates for source attribution purposes during investigations of foodborne illness outbreaks. Once an illness cluster and a suspect food vehicle have been identiﬁed, food testing is initiated for conﬁrmation and to determine the scope of a contamination event so that the implicated lots may be removed from the marketplace. For biochemically diverse families of pathogens such as Shiga toxin–producing Escherichia coli (STEC), the ability to detect speciﬁc strains may be hampered by the lack of a universal selective enrichment approach for their recovery against high levels of background microbiota. The availability of whole genome sequence data for a given outbreak STEC strain prior to commencement of food testing may provide food microbiologists an opportunity to customize selective enrichment techniques favoring the recovery of the outbreak strain. Here we demonstrate the advantages of using the publicly available ResFinder tool in the analysis of STEC model strains belonging to serotypes O111 and O157 to determine antimicrobial resistance traits that can be used in formulating strain-speciﬁc enrichment media to enhance recovery of these strains from microbiologically complex food samples. The improved recovery from ground beef of model STEC strains with various antimicrobial resistance proﬁles was demonstrated using three classes of antibiotics as selective agents, suggesting the universal applicability of this new approach in supporting foodborne illness investigations.","2019-01-01","2020-04-23 14:23:51","2020-04-23 14:23:51","2020-04-23 14:23:51","39-44","","1","82","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Blais et al. - 2019 - Genomically Informed Strain-Specific Recovery of S.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2JJE98K","journalArticle","2019","Brown, Emily E. F.; Cooper, Ashley; Carrillo, Catherine; Blais, Burton","Selection of Multidrug-Resistant Bacteria in Medicated Animal Feeds","Frontiers in Microbiology","","1664-302X","10.3389/fmicb.2019.00456","https://www.frontiersin.org/article/10.3389/fmicb.2019.00456/full","Exposure to antimicrobial resistant (AMR) bacteria is a major public health issue which may, in part, have roots in food production practices that are conducive to the selection of AMR bacteria ultimately impacting the human microbiome through food consumption. Of particular concern is the prophylactic use of antibiotics in animal husbandry, such as the medication of feeds with sulfonamides and other antibiotics not considered clinically relevant, but which may nonetheless co-select for multi-drug resistant (MDR) bacteria harboring resistance to medically important antibiotics. Using a MDR Klebsiella pneumoniae strain exhibiting resistance to sulfonamides and beta-lactams (including carbapenem) as a model, we examined the ability of non-medicated and commercially medicated (sulfonamide) animal feeds to select for the model strain when inoculated at low levels by measuring its recovery along with key AMR markers, sul1(sulfonamide) and blaKPC-3 (meropenem), under different incubation conditions. When non-medicated feeds were supplemented with deﬁned amounts of sulfadiazine the model strain was signiﬁcantly enriched after incubation in Mueller Hinton Broth at 37◦C overnight, or in same at room temperature for a week, with consistent detection of both the sul1 and blaKPC-3 markers as determined by polymerase chain reaction (PCR) techniques to screen colony isolates recovered on plating media. Signiﬁcant recoveries of the inoculated strain and the sul1 and blaKPC-3 markers were observed with one of three commercially medicated (sulfamethazine) feeds tested under various incubation conditions. These results demonstrate that under certain conditions the prophylactic use of so-called non-priority antibiotics in feeds can potentially lead to co-selection of environmental AMR bacteria with resistance to medically important antibiotics, which may have far-reaching implications for human health.","2019-03-06","2020-04-23 14:23:53","2020-04-23 14:23:53","2020-04-23 14:23:53","456","","","10","","Front. Microbiol.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Brown et al. - 2019 - Selection of Multidrug-Resistant Bacteria in Medicated Animal Feeds.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAQHT2DC","journalArticle","2019","Robertson, James; Lin, Janet; Wren-Hedgus, Amie; Arya, Gitanjali; Carrillo, Catherine; Nash, John H. E.","Development of a multi-locus typing scheme for an Enterobacteriaceae linear plasmid that mediates inter-species transfer of flagella","PLOS ONE","","1932-6203","10.1371/journal.pone.0218638","https://dx.plos.org/10.1371/journal.pone.0218638","","2019-11-18","2020-04-23 15:51:33","2020-04-23 15:51:33","2020-04-23 15:51:33","e0218638","","11","14","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Robertson et al. - 2019 - Development of a multi-locus typing scheme for an .pdf","","","","Johnson, Timothy J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WWPTFGR","journalArticle","2019","Low, Andrew J.; Koziol, Adam G.; Manninger, Paul A.; Blais, Burton; Carrillo, Catherine D.","ConFindr: rapid detection of intraspecies and cross-species contamination in bacterial whole-genome sequence data","PeerJ","","2167-8359","10.7717/peerj.6995","https://peerj.com/articles/6995","Whole-genome sequencing (WGS) of bacterial pathogens is currently widely used to support public-health investigations. The ability to assess WGS data quality is critical to underpin the reliability of downstream analyses. Sequence contamination is a quality issue that could potentially impact WGS-based findings; however, existing tools do not readily identify contamination from closely-related organisms. To address this gap, we have developed a computational pipeline, ConFindr, for detection of intraspecies contamination. ConFindr determines the presence of contaminating sequences based on the identification of multiple alleles of core, single-copy, ribosomal-protein genes in raw sequencing reads. The performance of this tool was assessed using simulated and lab-generated Illumina short-read WGS data with varying levels of contamination (0–20% of reads) and varying genetic distance between the designated target and contaminant strains. Intraspecies and cross-species contamination was reliably detected in datasets containing 5% or more reads from a second, unrelated strain. ConFindr detected intraspecies contamination with higher sensitivity than existing tools, while also being able to automatically detect cross-species contamination with similar sensitivity. The implementation of ConFindr in quality-control pipelines will help to improve the reliability of WGS databases as well as the accuracy of downstream analyses. ConFindr is written in Python, and is freely available under the MIT License at github.com/OLC-Bioinformatics/ConFindr.","2019-05-31","2020-04-23 15:52:11","2020-04-23 15:52:11","2020-04-23 15:52:11","e6995","","","7","","","ConFindr","","","","","","","en","","","","","DOI.org (Crossref)","","","","D:\OneDrive\Library\Low et al. - 2019 - ConFindr rapid detection of intraspecies and cros.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
